CLK| ON | Rin | Gin | Bin | Bin | Length In ||| Rout | Gout | Bout | BC | Length    | POUT | PWARN |
---+----+-----+-----+-----+-----+-----------+++------+------+------+----+-----------+------+-------+
 x |  x |   x |   x |   x |  x  | x. x m    |||   x  |   x  |   x  |  x | x. x m    |   x  | x     |
 0 |  0 |   x |   x |   x |  x  | x. x m    |||   x  |   x  |   x  |  x | x. x m    |   0  | 1     |
 0 |  0 |   x |   x |   x |  x  | x. x m    |||   0  |   0  |   0  |  0 | 0. 0 m    |   0  | 1     |
Lightsaber on, recharging...
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 116  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 117  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 118  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 119  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 120  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 121  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 122  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 123  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 124  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 125  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 126  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 127  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 128  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 129  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 130  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 131  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 132  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 133  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 134  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 135  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 136  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 137  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 138  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 139  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 140  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 141  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 142  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 143  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 144  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 145  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 146  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 147  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 148  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 149  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 150  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 151  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 152  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 153  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 154  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 155  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 156  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 157  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 158  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 159  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 160  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 161  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 162  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 163  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 164  | 0     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    | 165  | 0     |
